province,2013,2012,2011,2010,2009,2008,2007,2006
河南,71.63,80.5,69.2,95.24,95.9,90.5,87.89,78
山东,50.9,49.7,58.7,66,70,80,77,80
广东,72.7,69.2,65.5,61.5,64.4,61.4,55.3,51.74
安徽,51.1,50.6,54,56.2,57.2,61,56.4,46.35
河北,44.98,45.93,48.5,50.3,55.9,57.48,56.18,55.76
湖南,37.3,35.2,37.2,41.3,50.7,54,52,48
湖北,43.8,45.7,48.47,49.2,51.95,52.5,50.33,53.3
四川,54,53.8,51.4,51.15,50,51.76,49.88,45.33
江苏,45.1,47.4,50,52.7,54.6,50.8,53,49.5
陕西,36.65,37.53,38.39,37.85,40.5,41.4,41.17,37.32
江西,27.43,26.9,28.86,31.2,35,38.44,38.43,35
山西,35.8,36.1,33.9,36.2,36,37,33.1,32
浙江,31.3,31.6,30,30.08,34.85,36.44,35.88,35
福建,25.5,25,26.7,29.2,30.5,31.2,30.93,25
广西,29.8,28.5,29.2,29.9,30.2,30.4,30,27.49
辽宁,25.4,25.6,24.5,24.35,28,30,29,27
甘肃,28.3,29.6,29.7,29.1,28.6,29,27.2,24.8
内蒙古,19.3,18.95,20.56,21.9,24.6,27,23.9,20
云南,23.6,21,23,22,22,26,20,18.14
贵州,24.78,24.8,24.31,23.4,24,24,22.57,19.4
黑龙江,20.8,21,20.8,19.5,23,22.8,22.4,21.92
吉林,15.5,16.2,16.5,16.9,19.7,20.8,20.1,17.2
重庆,23.5,23,21.64,19.67,19.6,18.6,17.73,19
新疆,15.87,15.47,14.77,16.42,16.45,17,15.4,12.81
上海,5.3,5.5,6.1,6.7,8.3,10.8,11,11.38
北京,7.27,7.3,7.6,8.1,10.1,10.37,10.99,11.03
天津,6.3,6.4,6.46,7.1,7.65,8.85,8.85,8.36
宁夏,5.87,6.02,6.01,5.7,5.8,5.8,5.65,5
海南,5.6,5.5,5.4,5.47,5.78,4.9742,4.23,4.1
青海,3.945,3.8,4.06,3.8,3.9,4.1,3.8,4
西藏,1.89,1.9,1.8,1.8,1.36,1.5,1.5,1.37